Global cluster,OCHA_Code,Sub-domain,Indicator,Indicator_Local,Unit of Measurement,Denominator,Disaggregation,Indicator used for response monitoring?,Key indicator,Numerator,Sectoral objective,Standards,Strategic objective,Standards,Indicator_Types,Unit_Description,
Nutrition,N-037,N2 Infant and Young Child Feeding,Minimum acceptable diet,,Individual,Total number of children 6-23 months surveyed,"Geographical area, sex",Yes,Yes,Number of children 6-23 months who receive a minimum acceptable diet,,"Food Security and Nutrition 4.2.2, Sphere: Food security and nutrition assessment standard 1: Food security, Sphere: Food security - food transfers standard 1: General nutrition requirements",,"No standard; < 80Proportion of is generally a priority. Discuss high, medium and low designations as a group","Baseline, Outcome",Percentage,
Nutrition,N-038,N2 Infant and Young Child Feeding,"Introduction of solid, semi-solid or soft food",,Individual,Total number of infants 5-8 months surveyed,"Geographical area, sex",Yes,No,"Number of infants 5-8 months who received solid, semi-solid or soft foods during the previous day",,"Sphere: Food security and nutrition assessment standard 1: Food security, Sphere: Food security - food transfers standard 1: General nutrition requirements",,"No standard; < 80Proportion of is generally a priority. Discuss high, medium and low designations as a group","Baseline, Outcome",Percentage,
Nutrition,N-039,N2 Infant and Young Child Feeding,Not breastfed,,Individual,Total number of children 0,Geographical area; 0-,Yes,Yes,Number of infants 0-12 months and 12-24 months not breastfed,,"Sphere: Food security and nutrition assessment standard 1: Food security, Sphere: Food security - food transfers standard 1: General nutrition requirements",,,"Baseline, Outcome",Percentage,
Nutrition,N-040,N2 Infant and Young Child Feeding,"Distribution of infant formula, dried or liquid milk to the affected population",,Individual,N/A,Geographical area,Yes,Yes,N/A,,"Food Security and Nutrition 4.2.1, Sphere: Food security - food transfers standard 2: Appropriateness and acceptability (Key indicator 3)",,zero tolerance,"Baseline, Outcome",Yes/No,
Nutrition,N-041,N2 Infant and Young Child Feeding,"Inappropriate distribution of infant formula, dried or liquid milk to children 0-",,Community,N/A,Geographical area,Yes,Yes,N/A,,"Food Security and Nutrition 4.2.1, Sphere: Food security - food transfers standard 2: Appropriateness and acceptability (Key indicator 3)",,zero tolerance,"Baseline, Outcome",Yes/No,
Nutrition,N-042,N1 Prevention and Management of Acute Malnutrition,SAM new admissions,,Facility,N/A,"Geographical area, sex, group of beneficiaries: infants 0-5 months, children 6-59 months, people 60 years of age and older, inpatient/outpatient, rural/urban/IDPs",Yes,Yes,Number of cases with severe acute malnutrition newly admitted for treatment,,Sphere: Management of acute malnutrition and micronutrient deficiencies standard 2: Severe acute malnutrition,,N/A,Output,Number,
Nutrition,N-043,N1 Prevention and Management of Acute Malnutrition,SAM currently treated,,Facility,N/A,"Geographical area, sex, group of beneficiaries: infants 0-5 months, children 6-59 months, people 60 years of age and older, inpatient/outpatient, rural/urban/IDPs",No,Yes,Number of cases with severe acute malnutrition receiving treatment,,Sphere: Management of acute malnutrition and micronutrient deficiencies standard 2: Severe acute malnutrition,,N/A,Process,Number,
Nutrition,N-044,N1 Prevention and Management of Acute Malnutrition,SAM treatment coverage,,Facility,Total number of cases with severe acute malnutrition,"Geographical area, sex, group of beneficiaries: infants 0-5 months, children 6-59 months, people 60 years of age and older, inpatient/outpatient, rural/urban/IDPs",Yes,Yes,Number of cases with severe acute malnutrition receiving for treatment,,"Food Security and Nutrition 3.2, Sphere: Management of acute malnutrition and micronutrient deficiencies standard 2: Severe acute malnutrition (Key Indicator 2)",,"Sphere Minimum Standards:  >50% for rural; >70% for urban; >90% for IDPs""",Outcome,Percentage,
Nutrition,N-045,N1 Prevention and Management of Acute Malnutrition,SAM discharged died,,Facility,Total number of cases with severe acute malnutrition discharged,"Geographical area, sex, group of beneficiaries: infants 0-5 months, children 6-59 months, people 60 years of age and older, inpatient/outpatient, rural/urban/IDPs",No,Yes,Number of cases with severe acute malnutrition who died during treatment,,"Food Security and Nutrition 3.2, Sphere: Management of acute malnutrition and micronutrient deficiencies standard 2: Severe acute malnutrition (Key Indicator 3)",,Sphere Standards:  should be less than 10%,Process,Percentage,
Nutrition,N-046,N1 Prevention and Management of Acute Malnutrition,SAM discharged recovered,,Facility,Total number of cases with severe acute malnutrition discharged,"Geographical area, sex, group of beneficiaries: children 0-59 months, 6-59 months,  people 60 years and older, other groups, inpatient/outpatient",Yes,Yes,Number of discharged cases with severe acute malnutrition who  recovered,,"Food Security and Nutrition 3.2, Sphere: Management of acute malnutrition and micronutrient deficiencies standard 2: Severe acute malnutrition (Key Indicator 3)",,Sphere Standards:  should be more than 75%,Outcome,Percentage,
Nutrition,N-047,N1 Prevention and Management of Acute Malnutrition,SAM discharged defaulted,,Facility,Total number of cases with severe acute malnutrition discharged,"Geographical area, sex, group of beneficiaries: infants 0-5, children 6-59 months, people 60 years old and older, other groups, confirmed/non-confirmed",Yes,Yes,Number of discharged cases with severe acute malnutrition who defaulted,,"Food Security and Nutrition 3.2, Sphere: Management of acute malnutrition and micronutrient deficiencies standard 2: Severe acute malnutrition (Key Indicator 3)",,Sphere Standards:  should be less than 15%,Output,Percentage,
Nutrition,N-048,N1 Prevention and Management of Acute Malnutrition,SAM discharged non-recovered,,Facility,Total number of cases with severe acute malnutrition discharged,"Geographical area, sex, group of beneficiaries: children 0-59 months, 6-59 months,  people 60 years and older, other groups, inpatient/outpatient",Yes,No,Number of discharged cases with severe acute malnutrition who non-recovered,,,,NA,"Output, Process",Percentage,
Nutrition,N-049,N1 Prevention and Management of Acute Malnutrition,SAM referred,,Facility,N/A,"Geographical area, sex, group of beneficiaries: children 6-59 months, people 60 years and older,  other groups",Yes,No,Number of cases with severe acute malnutrition referred to inpatient care or hospital,,,,NA,"Output, Process",Number,
Nutrition,N-050,N1 Prevention and Management of Acute Malnutrition,SAM average weight gain,,Facility,"""Calculating weight gain :
The example is for weight gain over 7 days, but the same procedure can be applied to any interval:
* subtract from today’s weight (in g) the child’s weight 7 days earlier ;
* divide by 7 to determine the average daily weight gain (g/day) ;
* divide by the child’s average weight in kg to calculate the weight gain as g/kg/da""","Geographical area, sex, group of beneficiaries: children 6-59 months, people 60 years old and older, other groups",Yes,No,"""Calculating weight gain :
The example is for weight gain over 7 days, but the same procedure can be applied to any interval:
* subtract from today’s weight (in g) the child’s weight 7 days earlier ;
* divide by 7 to determine the average daily weight gain (g/day) ;
* divide by the child’s average weight in kg to calculate the weight gain as g/kg/da""",,Sphere: Management of acute malnutrition and micronutrient deficiencies standard 2: Severe acute malnutrition,,poor 10 g/kg/d,Output,gram weight gain per kilogram of body mass per day,
Nutrition,N-051,N1 Prevention and Management of Acute Malnutrition,SAM average length of stay,,Facility,Number of beneficiaries,"Geographical area, sex, group of beneficiaries: children 6-59 months, PLW, people 60 years old and older,  other groups",Yes,No,Sum of lengths of stay for beneficiaries in therapeutic treatment programme (in days),,Sphere: Management of acute malnutrition and micronutrient deficiencies standard 2: Severe acute malnutrition,,According to guidelines in use,Output,days,
Nutrition,N-052,N1 Prevention and Management of Acute Malnutrition,SAM follow-up,,Facility,Total number of severe acute malnutrition problem cases receiving treatment in need for follow-up at home,"Geographical area, sex, group of beneficiaries: children 6-59 months, other groups",No,No,Number of severe acute malnutrition problem cases receiving treatment in need for follow-up at home who are visited at home,,,,N/A,Process,Percentage,
Nutrition,N-053,N1 Prevention and Management of Acute Malnutrition,Access to SAM services,,Individual,Estimated SAM target population (based on the prevalence of SAM in the area),"Geographical area, rural/urban, group of beneficiaries: children 6-59 months, other groups",Yes,No,Number of the severe acute malnutrition target population living within less than one day's return walk from management of severe acute malnutrition site,,"Food Security and Nutrition 3.2, Sphere: Management of acute malnutrition and micro nutrient deficiencies standard 2: Severe acute malnutrition (Key indicator 1)",,SPHERE: More than 90 per cent of the target population is within less than one day’s return walk (including time for treatment) of the programme site.,Output,Percentage,
Nutrition,N-054,N1 Prevention and Management of Acute Malnutrition,MAM new admissions,,Facility,N/A,"Geographical area, sex, group of beneficiaries: infants 0-5 months, children 6-59 months, PLW, people 60 years of age and older, inpatient/outpatient, rural/urban/IDPs",Yes,Yes,Number of cases with moderate acute malnutrition newly admitted for treatment,,Sphere: Management of acute malnutrition and micro-nutrient deficiencies standard 1: Moderate acute malnutrition,,N/A,Output,Number,
Nutrition,N-055,N1 Prevention and Management of Acute Malnutrition,MAM currently treated,,Facility,N/A,"Geographical area, sex, group of beneficiaries: infants 0-5 months, children 6-59 months, PLW, people 60 years of age and older, inpatient/outpatient, rural/urban/IDPs",No,Yes,Number of cases with moderate acute malnutrition receiving treatment,,Sphere: Management of acute malnutrition and micro-nutrient deficiencies standard 1: Moderate acute malnutrition,,N/A,Process,Number,
Nutrition,N-056,N1 Prevention and Management of Acute Malnutrition,MAM treatment coverage,,Facility,Total number of cases with moderate acute malnutrition,"Geographical area, sex, group of beneficiaries: infants 0-5 months, children 6-59 months, PLW, people 60 years of age and older, inpatient/outpatient, rural/urban/IDPs",Yes,Yes,Number of cases with moderate acute malnutrition receiving for treatment,,"Food Security and Nutrition 3.1, Sphere: Management of acute malnutrition and micro nutrient deficiencies standard 1: Moderate acute malnutrition (Key indicator 2)",,"geographical area or impact area: Sphere Minimum Standards:  >50% for rural; >70% for urban; >90% for camps""",Outcome,Percentage,
Nutrition,N-057,N1 Prevention and Management of Acute Malnutrition,MAM discharged died,,Facility,Total number of cases with moderate acute malnutrition discharged,"Geographical area, sex, group of beneficiaries: infants 0-5 months, children 6-59 months, people 60 years of age and older, inpatient/outpatient, rural/urban/IDPs",No,Yes,Number of cases with moderate acute malnutrition who died during treatment,,Food Security and Nutrition 3.1,,Sphere Standards:  should be less than 3%,Process,Percentage,
Nutrition,N-058,N1 Prevention and Management of Acute Malnutrition,MAM discharged recovered,,Facility,Total number of cases with moderate acute malnutrition discharged,"Geographical area, sex, group of beneficiaries: children 0-59 months, 6-59 months, PLW, people 60 years and older, other groups, inpatient/outpatient",Yes,Yes,Number of discharged cases with moderate acute malnutrition who  recovered,,Food Security and Nutrition 3.1,,Sphere Standards: should be more than 75%,Outcome,Percentage,
Nutrition,N-059,N1 Prevention and Management of Acute Malnutrition,MAM discharged defaulted,,Facility,Total number of cases with moderate acute malnutrition discharged,"Geographical area, sex, group of beneficiaries: infants 0-5, children 6-59 months, PLW, people 60 years old and older, other groups, confirmed/non-confirmed",No,Yes,Number of discharged cases with moderate acute malnutrition who defaulted,,Food Security and Nutrition 3.1,,Sphere Standards:  should be less than 15%,Process,Percentage,
Nutrition,N-060,N1 Prevention and Management of Acute Malnutrition,MAM discharged non-recovered,,Facility,Total number of cases with moderate acute malnutrition discharged,"Geographical area, sex, group of beneficiaries: children 0-59 months, 6-59 months, PLW, people 60 years and older, other groups, inpatient/outpatient",No,No,Number of discharged cases with moderate acute malnutrition who non-recovered,,,,,Process,Percentage,
Nutrition,N-061,N1 Prevention and Management of Acute Malnutrition,MAM referred,,Facility,N/A,"Geographical area, sex, group of beneficiaries: children 6-59 months, PLW, people 60 years and older, other groups",No,No,Number of cases with moderate acute malnutrition referred to inpatient care or hospital,,,,,Process,Number,
Nutrition,N-062,N1 Prevention and Management of Acute Malnutrition,MAM follow-up,,Facility,Total number of moderate acute malnutrition problem cases receiving treatment in need for follow-up at home,"Geographical area, sex, group of beneficiaries: children 6-59 months, other groups",No,No,Number of moderate acute malnutrition problem cases receiving treatment in need for follow-up at home who are visited at home,,,,,Process,Percentage,
Nutrition,N-063,N1 Prevention and Management of Acute Malnutrition,Access to MAM services,,Individual,Estimated MAM target population (based on the prevalence of MAM in the area),"Geographical area, rural/urban, group of beneficiaries: children 6-59 months, other groups",Yes,Yes,Number of the moderate acute malnutrition target population living within less than one day's return walk from management of moderate acute or malnutrition site,,Food Security and Nutrition 3.1,,SPHERE: More than 90 per cent of the target population is within less than one day’s return walk (including time for treatment) of the programme site.,Output,Percentage,
Nutrition,N-064,N1 Prevention and Management of Acute Malnutrition,BSFPs coverage,,Individual,Total number of beneficiaries meeting the selection criteria for the blanket supplementary feeding programme,"Geographical area, rural/urban/IDPs, sex, group of beneficiaries based on national criteria",Yes,Yes,Number of target beneficiaries meeting the selection criteria for the blanket supplementary feeding programme enrolled,,,,N/A,Output,Percentage,
Nutrition,N-065,N1 Prevention and Management of Acute Malnutrition,Children Screened,,Individual,N/A,"Geographical area, sex, rural/urban/IDP, group of beneficiaries: children 6-59 months, PLW, other groups",Yes,No,Number of children screened for acute malnutrition in a community,,,,N/A,Output,Number,
Nutrition,N-066,N3 Prevention and Control of Micronutrients Deficiencies,Iron-folic acid supplementation coverage  in adolescent girls,,Individual or facility,Estimated total number of adolescent girls who meet target criteria for iron-folic acid supplementation,Geographical area,Yes,No,Number of adolescent girls who received micronutrient supplements with adequate iron-folic acid in/with one of their meals the previous day,,,,,Output,Percentage,
Nutrition,N-067,N3 Prevention and Control of Micronutrients Deficiencies,Women iodine supplementation coverage,,Individual or facility,Estimated total number of women of child-bearing age,"Geographical area, age group",Yes,No,Number of women of child-bearing age who received iodine supplements,,,,,Output,Percentage,
Nutrition,N-068,N3 Prevention and Control of Micronutrients Deficiencies,Deworming coverage in children,,Individual or facility,Estimated total number of children 12-59 months,"Geographical area, sex",Yes,No,Number of children 12-59 months who received deworming medication in the previous 6 months,,,,,Output,Percentage,
Nutrition,N-069,N3 Prevention and Control of Micronutrients Deficiencies,Deworming coverage in adolescents,,Individual or facility,Estimated total number of adolescent girls,Geographical area,Yes,No,Number of  adolescent girls who received deworming medication in the previous 6 months,,,,,Output,Percentage,
Nutrition,N-070,N3 Prevention and Control of Micronutrients Deficiencies,Deworming coverage in pregnant women,,Individual or facility,Estimated total number of  mothers of children 0-59 months of age,Geographical area,Yes,No,Number of mothers of children 0-59 months of age who took deworming medication during the last pregnancy,,,,,Output,Percentage,
Nutrition,N-071,N3 Prevention and Control of Micronutrients Deficiencies,Multiple micronutrients coverage,,Individual or facility,Estimated total number of target population that meets selection criteria,"Geographical area, sex, age group",Yes,Yes,Number of target population that received multiple micronutrient  powder/capsules,,,,,Output,Percentage,
Nutrition,N-072,N3 Prevention and Control of Micronutrients Deficiencies,Micronutrient  knowledge (in-depth),,Individual,Estimated total number of target population that meets selection criteria,"Geographical area, sex, age group",Yes,No,"Number of target population that meets selection criteria who know key elements of the nutrition messages provided on availability, use and benefits of micronutrient supplements or micronutrient rich or fortified foods/ food supplements",,,,target - 85%,Output,Percentage,
Nutrition,N-073,N3 Prevention and Control of Micronutrients Deficiencies,Zinc utilization for diarrhoea treatment,,Individual or facility,Total number of non-SAM children with diarrhoea treated,Geographical area,Yes,No,Number of non-SAM children with diarrhoea treated with ORS supplemented with zinc,,Food Security and Nutrition 3.3,,,Output,Percentage,
Nutrition,N-074,N3 Prevention and Control of Micronutrients Deficiencies,Prophylactic zinc supplementation in children coverage,,Individual,Total number of  children eligible to receive prophylactic zinc supplements according to national  protocols,"Geographical area, sex, age group",Yes,No,Number of  children received prophylactic zinc supplements according to national  protocols,,,,,Output,Percentage,
Nutrition,N-075,N3 Prevention and Control of Micronutrients Deficiencies,Calcium supplementation in pregnant women,,Individual,Total number of pregnant women eligible to receive calcium supplements during their last pregnancy,"Geographical area, age group, pregnancy status",Yes,No,Number of pregnant women who received calcium supplements during their last pregnancy,,,,,Output,Percentage,
Nutrition,N-076,N2 Infant and Young Child Feeding,Access to breastfeeding corners,,Individual,Number of breastfeeding mothers of children 0-2 years of age,Geographical area,Yes,Yes,Number of breastfeeding mothers of children 0-2 years of age with access to breastfeeding corners,,Food Security and Nutrition 2.2,,,Output,Percentage,
Nutrition,N-077,N2 Infant and Young Child Feeding,Breastfeeding support inclusion,,Facility,Number of programmes,Geographical area,No,Yes,Number of programmes where breastfeeding mothers receive support as a specific component,,Food Security and Nutrition 2.2,,,Process,Percentage,
Nutrition,N-078,N2 Infant and Young Child Feeding,Proportion of mothers relactated,,Facility,Total number of mothers who received relactation support,Geographical area,Yes,Yes,Number of mothers who successfully relactated,,,,,Outcome,Number,
Nutrition,N-079,N2 Infant and Young Child Feeding,Consumption of iron-rich or iron-fortified foods,,Individual,Total number of children 6-23 months,Geographical area,Yes,Yes,Number of children 6-23 months who receive an iron-rich food or iron fortified food,,Food Security and Nutrition 2.2,,,Output,Percentage,
Nutrition,N-080,N2 Infant and Young Child Feeding,Proportion of FBF,,Individual,Total number of children 6-23 months,Geographical area,Yes,No,Number of children 6-23 months received fortified blended foods,,Food Security and Nutrition 2.2,,,Output,Percentage,
Nutrition,N-081,N2 Infant and Young Child Feeding,Infants who have access to BMS supplies and support,,Individual,Total number of non-breastfed infants under 6 months of age in surveyed area,Geographical area,No,No,Total number of non-breastfed infants under 6 months of age who have access to BMS supplies and support,,Food Security and Nutrition 2,,,Process,Percentage,
Nutrition,N-082,N2 Infant and Young Child Feeding,BMS targeting,,Facility,Total number of programmes where BMS are provided,Geographical area,No,Yes,Number of programmes where BMS are appropriately targeted,,Food Security and Nutrition 2,,,Process,Percentage,
Nutrition,N-083,N2 Infant and Young Child Feeding,Preparation BMS education,,Facility,Total number of programmes where BMS are distributed,Geographical area,No,No,Number of programmes where education and practical training for caregivers on safe preparation od BMS is included,,Food Security and Nutrition 2,,,Process,Percentage,
Nutrition,N-084,N2 Infant and Young Child Feeding,BMS follow up,,Facility,Total number of programmes with BMS distribution,Geographical area,No,No,Number of programmes where there is follow-up of BMS recipients at distribution point and at household level,,,,,Process,Percentage,
Nutrition,N-085,N2 Infant and Young Child Feeding,BMS labelling language,,Facility,Total number of programmes where BMS are used,Geographical area,No,No,Number of programmes where BMS used are labelled in an appropriate language,,Food Security and Nutrition 2.2,,,Process,Percentage,
Nutrition,N-086,N2 Infant and Young Child Feeding,BMS shelf life,,Facility,Number of programs where BMS are provided,Geographical area,No,No,Number of programs where BMS does not have a shelf life of at least six months,,Food Security and Nutrition 2.1,,,Process,Percentage,
Nutrition,N-087,N2 Infant and Young Child Feeding,No secure supply of BMS,,Facility,Number of programmes where BMS are distributed,Geographical area,No,No,Number of programmes where a secure supply of BMS have not been established,,Food Security and Nutrition 2.2,,,Process,Percentage,
Nutrition,N-088,N2 Infant and Young Child Feeding,Admissions with BMS,,Individual,Total number of children admitted to programme,Geographical area,No,No,Number of children admitted to programme who were already BMS,,Food Security and Nutrition 2.2,,target: 100%,Process,Number,
Nutrition,N-089,N2 Infant and Young Child Feeding,Infants in need of BMS,,Individual,Total number of children admitted to programme,Geographical area,No,No,Number of children admitted to programme who are in need of BMS,,Food Security and Nutrition 2.2,,,Process,Number,
Nutrition,N-090,N2 Infant and Young Child Feeding,Baby bottles or teats distribution,,Facility,Number of programmes where BMS are distributed,Geographical area,No,Yes,Number of programmes where baby bottles or teats are being used or distributed,,Food Security and Nutrition 2.1,,,Process,Percentage,
Nutrition,N-091,N2 Infant and Young Child Feeding,BMS distribution,,Facility,Number of programmes where BMS are distributed,Geographical area,No,Yes,Number of programmes where BMS are distributed as part of food aid,,Food Security and Nutrition 2.1,,,Process,Percentage,
Nutrition,N-092,N2 Infant and Young Child Feeding,Code violations,,Community,N/A,Geographical area,No,No,Number of recorded Code violations,,Food Security and Nutrition 2.1,,,Process,Number,
Nutrition,N-093,N2 Infant and Young Child Feeding,Donations intercepted,,Facility or community,N/A,Geographical area,Yes,Yes,"Number of donations of BMS, complementary foods, bottles or teats successfully intercepted",,Food Security and Nutrition 2.1,,,Output,Number,
Nutrition,N-094,N2 Infant and Young Child Feeding,Donations not intercepted,,Facility or community,N/A,Geographical area,Yes,No,"Number of  donations of BMS, complementary foods, bottles or teats not successfully intercepted",,Food Security and Nutrition 2.1,,,Output,Number,
Nutrition,N-095,N2 Infant and Young Child Feeding,The code labelling of BMS,,Facility,Number of programs where BMS are provided,Geographical area,No,No,Number of programs where labels do not comply with the CODE,,Food Security and Nutrition 2.1,,,Process,Percentage,
Nutrition,N-096,N2 Infant and Young Child Feeding,IYCF in HIV context,,Facility,Total number of programmes,Geographical area,No,No,Number of programmes where individual risk assessment (applying AFASS criteria) is carried out on an ongoing basis for artificially fed infants,,,,,Process,Percentage,
Nutrition,N-097,N2 Infant and Young Child Feeding,IYCF support,,Individual,Total number of caregivers eligible to receive skilled IYCF support according to national protocols  surveyed,"Geographical area, sex",Yes,No,Number of caregivers received skilled IYCF support,,Food Security and Nutrition 2.2,,,Output,Percentage,
Nutrition,N-098,N2 Infant and Young Child Feeding,IYCF-E orphans and unaccompanied children receiving services,,Individual,"Total number of orphans, unaccompanied infants and young children in need of nutritional care and support",Geographical area,Yes,No,"Number of orphans, unaccompanied young children and young children who receive nutritional care and support",,Food Security and Nutrition 2.2,,,Output,Number,
Nutrition,N-099,N2 Infant and Young Child Feeding,Voucher/cash IYCF,,Facility,N/A,Geographical area,Yes,No,Number of voucher/cash programmes targeting families with children U2 with an IYCF objective,,,,,Output,Number,
Nutrition,N-100,N2 Infant and Young Child Feeding,Voucher/cash infants,,Facility,N/A,Geographical area,Yes,No,Number of voucher/cash programmes targeting families with infants under 6 months with a breastfeeding objective,,,,,Output,Number,
Nutrition,N-101,N2 Infant and Young Child Feeding,Code violations followed up,,Facility,Number of reported code violations,Geographical area,Yes,Yes,Number of reported code violations which were followed up,,"Food Security and Nutrition 2.1, Sphere: Infant and young child feeding standard 1: Policy guidance and coordination (Key indicator 4)",,Target - 100%,Output,Percentage,
Nutrition,N-102,"N1 Prevention and Management of Acute Malnutrition, N2 Infant and Young Child Feeding, N3 Prevention and Control of Micronutrients Deficiencies",Focus group discussions,,Facility,Total number of nutrition programmes,"Geographical area, sex, age, phase of project (assessment, planning, implementation, monitoring and evaluation), response domain",No,No,"Number of nutrition programmes that had separate focus group discussions with affected girls, women, boys and men during assessment, planning, implementation, monitoring and evaluation",,Sphere: Core Standard 1: People-cantered humanitarian response,,Target - 100%,Process,Percentage,
Nutrition,N-103,"N1 Prevention and Management of Acute Malnutrition, N2 Infant and Young Child Feeding, N3 Prevention and Control of Micronutrients Deficiencies",Single sex consultations on effective response,,Facility,Total number of partners responding to the emergency,Response domain,No,No,Number of partners routinely conducting single sex consultations to discuss about how effectively they respond to distinct nutritional needs of the affected population and to address any challenges in accessing assistance,,Sphere: Core Standard 1: People-cantered humanitarian response,,Target - 100%,Process,Percentage,
Nutrition,N-104,"N1 Prevention and Management of Acute Malnutrition, N2 Infant and Young Child Feeding, N3 Prevention and Control of Micronutrients Deficiencies",Satisfaction with access to services,,Individual,Total number of men/women benefited from the project,"Geographical area, sex, response domain",Yes,No,Number of men/women satisfied with their access to services at the end of the project,,,,Target - 100%,Output,Percentage,
Nutrition,N-105,"N1 Prevention and Management of Acute Malnutrition, N2 Infant and Young Child Feeding, N3 Prevention and Control of Micronutrients Deficiencies",Knowledge of good nutrition/IYCF practices,,Individual,Total number of men and total number of women participated in the project,"Geographical area, response domain",Yes,No,Number of men/women who have increased knowledge of good nutrition practices at the end of the project,,,,Target - 100%,Output,Percentage,
Nutrition,N-106,"N1 Prevention and Management of Acute Malnutrition, N2 Infant and Young Child Feeding, N3 Prevention and Control of Micronutrients Deficiencies",Men participation in nutrition programmes,,Individual,Total number of people participated in nutritional education programmes,"Geographical area, response domain",Yes,No,Number of men participated in nutritional education programmes,,,,,Output,Percentage,
Nutrition,N-107,N2 Infant and Young Child Feeding,IYCF policy,,Community,N/A,N/A,No,Yes,N/A,,"Food Security and Nutrition 2.1, Sphere: Infant and young child feeding standard 1: Policy guidance and coordination (Key indicator 1)",,Yes,Process,Yes/No,
Nutrition,N-108,N2 Infant and Young Child Feeding,IYCF coordinating body,,Community,N/A,N/A,No,Yes,N/A,,"Food Security and Nutrition 2.1, Sphere: Infant and young child feeding standard 1: Policy guidance and coordination (Key indicator 2)",,Yes,Process,Yes/No,
Nutrition,N-109,N2 Infant and Young Child Feeding,Body to deal with donations,,Community,N/A,N/A,No,Yes,N/A,,"Food Security and Nutrition 2.1, Sphere: Infant and young child feeding standard 1: Policy guidance and coordination (Key indicator 3)",,Yes,Process,Yes/No,
Nutrition,N-110,N2 Infant and Young Child Feeding,IYCF-E Capacity,,Community,Total number of emergency-affected areas,Geographical area,Yes,Yes,Number of emergency-affected areas that have an adequate number of skilled IYCF counsellors and/or functioning support groups,,"Food Security and Nutrition 2.2, Sphere: Infant and young child feeding standard 2: Basic and skilled support",,,"Baseline, Output",Percentage,
Protection,P-1,(P) Protection,Number of civilians reported killed by violence,,Household,,"Age, sex, geographic unit,",,Yes,,,,,,"Baseline, Output",,
Protection,P-10,(P) Protection,Percentage of communities to which international and/or national humanitarian organizations' access to populations has been limited by duty bearers or armed actors,,Community,,geographic unit/perpetrator/type of settlement/cause,,Yes,,,,,,"Baseline, Output",,
Protection,P-11,(P) Protection,Percentage of persons in need of legal assistance receiving legal assistance/advice,,Individual,,"age/sex/geographic unit, title/function",,Yes,,,,,,Output,,
Protection,P-12,(P) Protection,Estimated percentage of affected population in need of mental health and/or psychosocial support,,Institution,,age/sex,,Yes,,,,,,"Baseline, Output",,
Protection,P-13,(P) Protection,Percentage of communities reporting living in hazardous areas,,Community,,geographic unit,,Yes,,,,,,"Baseline, Output",,
Protection,P-14,(P) Protection,Percentage of communities reporting hazardous items in their area that can result in death or injury,,Community,# of surveyed communities,Geography,,Yes,# of communities who have reported existence of dangerous/hazardeous areas/items in their area that can result in death or injury,,,,,"Baseline, Output",,
Protection,P-15,(P) Protection,"Percentage of communities that indicate deliberate exclusion from services for a specific group (i.e. children, disabled, minority groups)",,Community,,geographic unit,,Yes,,,,,,"Baseline, Output",,
Protection,P-2,(P) Protection,"Percentage [or number of]  community assets (bridge, school, hospital, place of worship etc.) being attacked",,Community,,Type of asset,,Yes,,,,,,"Baseline, Output",,
Protection,P-3,(P) Protection,Number of persons reported disappeared/abducted / missing [broken down by geographical area],,Individual,,age/sex/diversity group/geographic unit/perpetrator,,Yes,,,,,,"Baseline, Output",,
Protection,P-4,(P) Protection,Percentage of communities reporting persons being arbitrarily detained,,Community,,age/sex/geographic unit/perpetrator,,Yes,,,,,,"Baseline, Output",,
Protection,P-5,(P) Protection,Percentage of persons being arbitrarily detained who are receiving legal assistance/advice,,Individual or facility,,age/sex,,Yes,,,,,,Output,,
Protection,P-6,(P) Protection,Percentage of communities reporting persons being forcibly recruited into armed group/forces,,Community,,age/sex/geographic unit/perpetrator,,Yes,,,,,,"Baseline, Output",,
Protection,P-7,(P) Protection,"Percentage of communities reporting cases of organized violence, torture, or cruel, inhuman or degrading treatment or punishment",,Community,,age/sex/diversity group/geographic unit/perpetrator,,Yes,,,,,,"Baseline, Output",,
Protection,P-8,(P) Protection,"Percentage of communities reporting cases of  survivors of organized violence, torture, inhuman and/or degrading treatment receiving assistance",,Community,,age/sex/ type of support activity,,Yes,,,,,,Output,,
Protection,P-9,(P) Protection,Percentage of communities reporting survivors of trafficking for exploitation (labour or sex) receiving assistance,,Community,,age/sex/support activity,,Yes,,,,,,Output,,
Protection,P1-PC1-1,PC11 Case Management,Percentage of care plans for individual children developed within two weeks of the opening of the child's care plan,,Individual,# of care plans for individual children developed,"Sex, age and type of case",Yes,No,# of care plans developed within two weeks of the assessment of the assessment of the child's situation,,,,0.9,Output,Percentage,
Protection,P1-PC1-2,PC11 Case Management,Percentage of targeted communities with a functioning referral system for children at the community level,,Community,# of targeted communities,Geography,Yes,No,# of targeted communities with a functioning referral system,,,,To be determined in the country,Output,Percentage,
Protection,P1-PC2-1,PC10 Excluded Children,Percentage of identified excluded children who are accessing protection services,,Individual,# of excluded children identified,"Geography, age, sex",Yes,No,# of excluded children identified who have access to protection service,,,,0.8,Output,Percentage,
Protection,P1-PC2-3,PC2 Physical violence and other harmful practices,Percentage of surveyed community members who are able to articulate strategies to prevent physical violence and other harmful practices,,Individual,# community members surveyed,"Sex of respondents, type of strategies articulated, type of intervention implemented during 'x'(tdb) months prior to the survey",Yes,No,# community members surveyed who can articulate knowledge  of ways to prevent physical violence and other harmful practices,,,,,Outcome,,
