id,cluster,activity_type,activity_desc,activity_detail,indicator
517,WASH,Water,Solar Pumping System - NEW,Regular Activity (Life Saving Response),
518,WASH,Water,Solar Pumping System - NEW,Regular Activity (Resilience/ Sustainability Response),
519,WASH,Water,Solar Pumping System - REHAB,Drought Response (Life Saving Response),
520,WASH,Water,Solar Pumping System - REHAB,Regular Activity (Life Saving Response),
521,WASH,Water,Temporary Facilities and Services,Distribution of Treatment Tablets,
522,WASH,Water,Temporary Facilities and Services,Water Trucking,
523,WASH,Water,"Water Filtration ( Bio-sand, Filters etc. )",Drought Response (Life Saving Response),
524,WASH,Water,Water Quality Testing,Cholera Response (Resilience/ Sustainability Response),
525,WASH,Water,Water Quality Testing,Drought Response (Life Saving Response),
526,WASH,Water,Water Supply in Community,Regular Activity,
527,WASH,Water,Water Supply in Community - NEW,Regular Activity (Life Saving Response),
528,WASH,Water,Water Supply in Community - REHAB,Drought Response (Life Saving Response),
529,WASH,Water,Water Supply in Community - REHAB,Regular Activity (Life Saving Response),
530,WASH,Water,Water Supply in Community - REHAB,Regular Activity (Resilience/ Sustainability Response),
531,WASH,Water,Water Supply in Health Facility,Regular Activity,
532,WASH,Water,Water Supply in Health Facility - NEW,Regular Activity (Life Saving Response),
533,WASH,Water,Water Supply in Health Facility - NEW,Regular Activity (Resilience/ Sustainability Response),
534,WASH,Water,Water Supply in School - NEW,Drought Response (Resilience/ Sustainability Response),
535,WASH,Water,Water Supply in School - NEW,Regular Activity (Resilience/ Sustainability Response),
536,WASH,Water,Water Supply in School - REHAB,Regular Activity (Life Saving Response),
537,WASH,Water,Water Tank ( Storage Facility ) - NEW,Drought Response (Life Saving Response),
538,WASH,Water,Water Tank ( Storage Facility ) - NEW,Drought Response (Resilience/ Sustainability Response),
539,WASH,Water,Water Tank ( Storage Facility ) - NEW,Regular Activity (Life Saving Response),
540,WASH,Water,Water Tank ( Storage Facility ) - NEW,Regular Activity (Resilience/ Sustainability Response),
541,WASH,Water,Water Tankering,,
542,WASH,Water,Water Tankering,Cholera Response (Life Saving Response),
543,WASH,Water,Water Tankering,Drought Response,
544,WASH,Water,Water Tankering,Drought Response (Life Saving Response),
545,WASH,Water,Water Tankering,Drought Response (Resilience/ Sustainability Response),
546,WASH,Water,Water Training & Capacity Building,Drought Response (Life Saving Response),
547,WASH,Water,"Water Treatment  ( Aquatab, Chlorination, PUR sachets etc. )",Drought Response (Resilience/ Sustainability Response),
548,WASH,Water,"Water Treatment  ( Aquatab, Chlorination, PUR sachets etc. )",Regular Activity (Life Saving Response),
