activity_description_id,activity_description_name,activity_type_id,activity_type_name,cluster_id,,,
standard_nfi_kit_distribution,Distribution of Standard Emergency NFI Kit,standard_emergency_nfi_kit,Standard Emergency NFI Kit,esnfi,,,
standard_emergency_nfi_kit,Standard Emergency NFI Kit,standard_emergency_nfi_kit,Standard Emergency NFI Kit,esnfi,,,
tent_distribution_2_tarps,Distribution of Tents + 2 tarps,standard_emergency_shelter_assistance,Standard Emergency Shelter Assistance,esnfi,,,
shelter_self_construction_repair_kit,Shelter Repair/Reconstruction Kit,standard_emergency_shelter_assistance,Standard Emergency Shelter Assistance,esnfi,,,
rental_support_3_months,Rental Support for 3 months,standard_emergency_shelter_assistance,Standard Emergency Shelter Assistance,esnfi,,,
tent_distribution_2_tarps_package,Distribution of a Tent + 2 tarps-in-kind,standard_emergency_shelter_kit,Standard Emergency Shelter Kit,esnfi,,,
winterization_package_winter_clothing_kit,Provision of standard winter clothing kit,standard_winter_clothing_kit,Standard Winter Clothing Kit,esnfi,,,
winterization_heating_and_fuel_assistance,Winterization heating and fuel assistance,standard_winterization_assistance,Standard Winterization Assistance,esnfi,,,
winter_clothing_package,Winter Clothing Package,standard_winterization_assistance,Standard Winterization Assistance,esnfi,,,
blanket_package,Blanket Package,standard_winterization_assistance,Standard Winterization Assistance,esnfi,,,
winterization_package_heating_fuel,Provision of standard winterization package for fuel and heating,standard_winterization_package,Standard Winterization Package,esnfi,,,
school_aged_children_winter_clothing_kits,School-aged children to receive winter clothing kits,standard_winterization_package,Standard Winterization Package,esnfi,,,
heating_supplies_school_support,Schools supported with heating supplies,standard_winterization_package,Standard Winterization Package,esnfi,,,
winterization_package_blankets,Provision of blankets,standard_winterization_packages_blankets_clothing_heating,Standard Winterization Packages (blankets/clothing/heating),esnfi,,,
winterization_package_winter_clothing_kit,Provision of standard winter clothing kit,standard_winterization_packages_blankets_clothing_heating,Standard Winterization Packages (blankets/clothing/heating),esnfi,,,
winterization_package_heating_fuel,Provision of standard winterization package for fuel and heating,standard_winterization_packages_blankets_clothing_heating,Standard Winterization Packages (blankets/clothing/heating),esnfi,,,
provision_covid_19_services,Provision of COVID-19 Services,surveillance,Surveillance,health,,,
teacher_training_psychosocial_first_aid,Train Teachers in Psychosocial First Aid (PFA),teacher_training,Teacher Training,education,,,
learning_supplies_provision,Provision of learning supplies,teaching_learning_supplies,Teaching & Learning Materials Supplies,eiewg,,,
classrom_equipment_teaching_materials_provision,Provision of classroom equipment and teaching materials,teaching_learning_supplies,Teaching & Learning Materials Supplies,eiewg,,,
recreational_kit,Recreational Kit,teaching_learning_supplies,Teaching & Learning Materials Supplies,eiewg,,,
school_in_box_kit,School in Box Kit,teaching_learning_supplies,Teaching & Learning Materials Supplies,eiewg,,,
eie_kit,EiE Kit,teaching_learning_supplies,Teaching & Learning Materials Supplies,eiewg,,,
classroom_kits,Classroom Kits,teaching_learning_supplies,Teaching & Learning Materials Supplies,eiewg,,,
student_bag,Student Bag,teaching_learning_supplies,Teaching & Learning Materials Supplies,eiewg,,,
students_kits,Students Kits,teaching_learning_supplies,Teaching & Learning Materials Supplies,eiewg,,,
top_up_kits,Top up Kits,teaching_learning_supplies,Teaching & Learning Materials Supplies,eiewg,,,
teacher_kits,Teacher Kits,teaching_learning_supplies,Teaching & Learning Materials Supplies,eiewg,,,
reading_kits,Reading Kits,teaching_learning_supplies,Teaching & Learning Materials Supplies,eiewg,,,
text_book_distribution,Text Book Distribution,teaching_learning_supplies,Teaching & Learning Materials Supplies,eiewg,,,
startup_kit,Startup Kit,teaching_learning_supplies,Teaching & Learning Materials Supplies,eiewg,,,
provision_washing_facilities,Provision of School WASH Facilities,teaching_learning_supplies,Teaching & Learning Materials Supplies,education,,,
provision_education_materials,"Provision of Information, Education Communication Materials (IEC)",teaching_learning_supplies,Teaching & Learning Materials Supplies,education,,,
provision_school_feeding,Provision of School Feeding,teaching_learning_supplies,Teaching & Learning Materials Supplies,education,,,
provision_learning_stationary,Provision of Learning Stationary,teaching_learning_supplies,Teaching & Learning Materials Supplies,education,,,
provision_education_kit,Provision of Early Childhood Care and Education Kit,teaching_learning_supplies,Teaching & Learning Materials Supplies,education,,,
training_health_care_providers,Training of Health Care Providers,health_training,Training,health,,,
provision_covid_19_services,Provision of COVID-19 Services,health_training,Training,health,,,
training-of-health-care-providers-on-prevention-of-sexual-exploitation-abuse-psea,3.1 Training of health care providers on Prevention of Sexual Exploitation & Abuse (PSEA),health_training,Training,health,,,
training-of-health-care-providers-on-health-response-to-survivors-of-violence,3.2 Training of health care providers on health response to survivors of violence,health_training,Training,health,,,
training-of-health-care-providers-on-trauma-care,3.3 Training of health care providers on trauma care,health_training,Training,health,,,
training-of-health-care-providers-on-maternal-and-child-health-mch,3.4 Training of health care providers on Maternal and Child Health (MCH),health_training,Training,health,,,
training-of-health-care-providers-on-surveillance-and-outbreak-investigation-and-response-,3.5 Training of health care providers  on surveillance and outbreak investigation and response ,health_training,Training,health,,,
training-of-health-care-providers-on-covid-19-case-management,3.6 Training of health care providers on COVID-19 case management,health_training,Training,health,,,
training-of-health-care-providers-on-infection-prevention-and-control-ipc,3.7 Training of health care providers on Infection Prevention and Control (IPC),health_training,Training,health,,,
training-of-health-care-providers-on-mhpss,3.8 Training of health care providers on MHPSS,health_training,Training,health,,,
training-of-health-care-providers-on-acute-watery-diarrhea-awd-case-management,3.9 Training of health care providers  on Acute Watery Diarrhea (AWD) case management,health_training,Training,health,,,
training-of-health-care-providers-on-ipd-sam,3.10 Training of health care providers on IPD-SAM,health_training,Training,health,,,
training-of-health-care-providers-on-other-areas,3.11 Training of health care providers on other areas,health_training,Training,health,,,
training-of-community-health-care-workers-hcws,3.12 Training of community health care workers (HCWs),health_training,Training,health,,,
transitional_shelter_construction_2_room,Construction of 2 room transitional shelter,transitional_shelter,Transitional Shelter,esnfi,,,
transitional_shelter_package_1_room_cost usd_1250-2000,Construction of 1 room transitional shelter,transitional_shelter,Transitional Shelter,esnfi,,,
shelter_extension_kits_overcrowding_reduction,Shelter extension kits to reduce overcrowding,transitional_shelter,Transitional Shelter,esnfi,,,
transitional_shelter_construction_1_room,Construction of 1 room transitional shelter,transitional_shelter,Transitional Shelter,esnfi,,,
permanent_shelter_package_2_room_cost usd_2000-3500,Construction of 2 room permanent shelter,transitional_shelter,Transitional Shelter,esnfi,,,
transitional_shelter_package_2_room_cost_usd_1250-2000,Construction of 2 room transitional shelter,transitional_shelter,Transitional Shelter,esnfi,,,
permanent_shelter_package_1_room_cost usd_2000-3500,Construction of 1 room permanent shelter,transitional_shelter,Transitional Shelter,esnfi,,,
transitional_shelter_package,Transitional Shelter,transitional_shelter,Transitional Shelter,esnfi,,,
transitional_shelter_construction_1_room,Construction of an average sized family transitional shelter (1 bedroomed),transitional_shelter,Transitional Shelter,esnfi,,,
transitional_shelter_construction_2_room,Construction of an average sized family transitional shelter (2 bedroomed),transitional_shelter,Transitional Shelter,esnfi,,,
fatp_stabilization_referrals_conflict,FATP - Stabilization & Referrals ( Conflict ),trauma_care,Trauma Care,health,,,
fatp_stabilization,FATP - Stabilization ( Conflict ),trauma_care,Trauma Care,health,,,
fatp_stabilization_civilian,FATP - Stabilization ( Non-Conflict ),trauma_care,Trauma Care,health,,,
fatp_stabilization_referrals_civilian,FATP - Stabilization & Referrals ( Non-Conflict ),trauma_care,Trauma Care,health,,,
tcu_minor_surgeries,TCU - Minor Surgeries,trauma_care,Trauma Care,health,,,
opd_consultation_surgery,OPD + Consultation Surgery,trauma_care,Trauma Care,health,,,
physical_rehabilitation,Physical Rehabilitation,trauma_care,Trauma Care,health,,,
training_tcu,Training Health Providers,trauma_care,Trauma Care,health,,,
tcu_major_surgeries,TCU - Major Surgeries,trauma_care,Trauma Care,health,,,
education_tcu,Health Education & Awareness,trauma_care,Trauma Care,health,,,
human_resources,Human Resources,trauma_care,Trauma Care,health,,,
new_fatp_trauma_center,Establishment of new FATP/Trauma Center,trauma_care,Trauma Care,health,,,
provision_trauma_care_services,Provision of Trauma Care Services,trauma_care,Trauma Care,health,,,
provision-of-trauma-care-services-treated-conflict,6.1 Provision of trauma care services treated (conflict),trauma_care,Trauma Care,health,,,
provision-of-trauma-care-services-referred-conflict,6.2 Provision of trauma care services referred (conflict),trauma_care,Trauma Care,health,,,
provision-of-trauma-care-services-treated-non-conflict,6.3 Provision of trauma care services treated (non-conflict),trauma_care,Trauma Care,health,,,
provision-of-trauma-care-services-referred-non-conflict,6.4 Provision of trauma care services referred (non-conflict),trauma_care,Trauma Care,health,,,
existing_shelter_upgrade_package,Upgrade of Existing Shelter,existing_shelter_upgrade,Upgrade of Existing Shelter,esnfi,,,
existing_shelter_upgrade_repair_package,Upgrade/repair of damaged or existing shelters,shelter_repair_upgrade,Upgrade/Repair of Shelters,esnfi,,,
existing_shelter_upgrade_package,Upgrade/repair of damaged or existing shelters,shelter_repair_upgrade,Upgrade/Repair of Shelters,esnfi,,,
existing_shelter_upgrade_package_toolkit,Upgrade/repair of damaged or existing shelters plus distribution reconstruction toolkit,shelter_repair_upgrade,Upgrade/Repair of Shelters,esnfi,,,
repair_upgrade_of_shelters_with_minor_damage,Repair/Upgrade of shelters with minor damage,shelter_repair_upgrade,Upgrade/Repair of Shelters,esnfi,,,
repair_upgrade_of_shelters_with_severe_damage,Repair/Upgrade of shelters with severe damages,shelter_repair_upgrade,Upgrade/Repair of Shelters,esnfi,,,
extension_of_existing_shelters,Extensions of existing shelters,shelter_repair_upgrade,Upgrade/Repair of Shelters,esnfi,,,
penta_3_vaccination,Vaccination ( Penta3 ),vaccination,Vaccination/Immunization,health,,,
measles_vaccination,Vaccination ( Measles ),vaccination,Vaccination/Immunization,health,,,
measles_coverage,Measles Coverage,vaccination,Vaccination/Immunization,health,,,
penta3_coverage,Penta3 Coverage,vaccination,Vaccination/Immunization,health,,,
panta3-vaccination-coverage,7.1 Panta3 vaccination coverage,vaccination,Vaccination/Immunization,health,,,
measles-vaccination-coverage,7.2 Measles vaccination coverage,vaccination,Vaccination/Immunization,health,,,
assessment_wash_school,WASH Assessment in School,assessment,WASH Assessment,wash,,,
assessment_wash_community,WASH Assessment in Community,assessment,WASH Assessment,wash,,,
assessment_wash_health_facility,WASH Assessment in Health Facility,assessment,WASH Assessment,wash,,,
wash-assessment-in-community,WASH Assessment in Community,assessment,WASH Assessment,wash,,,
wash-assessment-in-school,WASH Assessment in School,assessment,WASH Assessment,wash,,,
wash-assessment-in-hcf,WASH Assessment in HCF,assessment,WASH Assessment,wash,,,
kap-survey,KAP Survey,assessment,WASH Assessment,wash,,,
baseline-survey,Baseline Survey,assessment,WASH Assessment,wash,,,
consultation-on-wash-gbv-risks,Consultation on WASH GBV Risks,wash-consultations,WASH Consultations,wash,,,
consultation-on-wash-for-pwd,Consultation on WASH for PWD,wash-consultations,WASH Consultations,wash,,,
pseah-wash-consultations,PSEAH WASH Consultations,wash-consultations,WASH Consultations,wash,,,
evaluation_baseline,Baseline Survey,evaluation,WASH Evaluation,wash,,,
evaluation_endline,Endline Survey,evaluation,WASH Evaluation,wash,,,
evaluation_crm,CRM Survey,evaluation,WASH Evaluation,wash,,,
evaluation_fgd,FGD Survey,evaluation,WASH Evaluation,wash,,,
evaluation_kap,KAP Survey,evaluation,WASH Evaluation,wash,,,
evaluation_kii,KII Survey,evaluation,WASH Evaluation,wash,,,
evaluation_csi,CSI Survey,evaluation,WASH Evaluation,wash,,,
evaluation_results_monitoring,Results Monitoring Survey,evaluation,WASH Evaluation,wash,,,
evaluation_pdm,PDM Survey,evaluation,WASH Evaluation,wash,,,
pdm-survey,PDM Survey,evaluation,WASH Evaluation,wash,,,
fcm-compaints-addressed,FCM compaints addressed,evaluation,WASH Evaluation,wash,,,
using_the_wash_gbv_checklist,Using the WASH GBV Checklist,wash_gbv_mitigation,WASH for GBV Mitigation,wash,,,
gbv_risk_discussion_with_female_before_assistance,GBV risk discussion with Female (Before Assistance),wash_gbv_mitigation,WASH for GBV Mitigation,wash,,,
wash_assistance_after_consultation_on_gbv_risks,WASH Assistance After consultation on GBV Risks,wash_gbv_mitigation,WASH for GBV Mitigation,wash,,,
use_of_wash_Ã¢â‚¬â€¹gbv_checklist,Use of WASH Ã¢â‚¬â€¹GBV Checklist,wash_gbv_mitigation,WASH for GBV Mitigation,wash,,,
use-of-wash-gbv-checklist,Use of WASH GBV Checklist,wash_gbv_mitigation,WASH for GBV Mitigation,wash,,,
latrines_male_female_latrines,Latrines (Male & Female Latrines),wash_in_school,WASH in School,eiewg,,,
hygiene_promotion,Hygiene Promotion,wash_in_school,WASH in School,eiewg,,,
potable_water_drinking_water_supply,Potable Water/Drinking Water Supply,wash_in_school,WASH in School,eiewg,,,
psea_focal_points_available,PSEA Focal Points Available,wash_psea,WASH PSEA,wash,,,
family_hygiene_kits_distributed,Family Hygiene Kits Distributed,wash_supplies,WASH Supplies,wash,,,
wash_package_kit_distribution,# SAM/MAM children received WASH package/kit at household level,wash_supplies,WASH Supplies,wash,,,
family_water_kit_distribution,Family Water Kit Distribution,wash_supplies,WASH Supplies,wash,,,
assistance-through-cashvoucher-distribution-for-wash-supplies,Assistance through Cash/voucher distribution for wash supplies,wash_supplies,WASH Supplies,wash,,,
number-sammam-children-received-wash-packagekit-at-household-level,# SAM/MAM children received WASH package/kit at household level,wash_supplies,WASH Supplies,wash,,,
number-pregnant-and-lactating-women-plw-received-wash-packagekit-at-household-level,# Pregnant and Lactating women (PLW) received WASH package/kit at household level,wash_supplies,WASH Supplies,wash,,,
family-hygiene-kits-distribution,Family Hygiene Kits Distribution,wash_supplies,WASH Supplies,wash,,,
family-hygiene-consumables-kits-distribution,Family Hygiene Consumables Kits Distribution,wash_supplies,WASH Supplies,wash,,,
family-water-kit-distribution,Family Water Kit Distribution,wash_supplies,WASH Supplies,wash,,,
water-treatment-aquatab-chlorination-pur-sachets-etc-distribution,"Water Treatment  (Aquatab, Chlorination, PUR sachets etc. ) Distribution",wash_supplies,WASH Supplies,wash,,,
soap-distribution,Soap distribution,wash_supplies,WASH Supplies,wash,,,
hh-water-storage-items-distribution,HH Water storage items distribution,wash_supplies,WASH Supplies,wash,,,
dignity-kits-distribution-mhm,Dignity kits distribution (MHM),wash_supplies,WASH Supplies,wash,,,
piped_water_network,Piped Water Network - New / REHAB,water,Water Activities,wash,,,
rainwater_system,Rainwater Harvesting System - NEW / REHAB,water,Water Activities,wash,,,
hand_dug_well,Hand Dug Well - NEW / REHAB,water,Water Activities,wash,,,
shallow_well,Shallow Well with Hand Pump - NEW / REHAB,water,Water Activities,wash,,,
reverse_osmosis_system,Reverse Osmosis System - NEW / REHAB,water,Water Activities,wash,,,
solar_pumping_system,Solar Pumping System,water,Water Activities,wash,,,
piped_extension,Extension from Existing Piped System,water,Water Activities,wash,,,
borehole,Borehole with Hand Pump - NEW / REHAB,water,Water Activities,wash,,,
family_water_kit_distribution,Family Water Kit Distribution,water,Water Activities,wash,,,
water_quality_testing,Water Quality Testing,water,Water Activities,wash,,,
gravity_fed_water_system,Gravity-Fed Water System,water,Water Activities,wash,,,
water_supply_school,Water Supply in School,water,Water Activities,wash,,,
water_tank,Water Tank ( Storage Facility ) - NEW / REHAB,water,Water Activities,wash,,,
water_tankering,Water Tankering,water,Water Activities,wash,,,
education_water,Water Training & Capacity Building,water,Water Activities,wash,,,
water_supply_community,Water Supply in Community,water,Water Activities,wash,,,
water_kiosk,Water Kiosk,water,Water Activities,wash,,,
water_supply_health_facility,Water Supply in Health Facility,water,Water Activities,wash,,,
water_treatment,"Water Treatment  ( Aquatab, Chlorination, PUR sachets etc. )",water,Water Activities,wash,,,
water_filtration,"Water Filtration ( Bio-sand, Filters etc. )",water,Water Activities,wash,,,
hand_dug_well_new,Hand Dug Well - NEW,water,Water Activities,wash,,,
hand_dug_well_rehab,Hand Dug Well - REHAB,water,Water Activities,wash,,,
borehole_new,Borehole with Hand Pump - NEW,water,Water Activities,wash,,,
piped_water_network_new,Piped Water Network - NEW,water,Water Activities,wash,,,
piped_water_network_rehab,Piped Water Network - REHAB,water,Water Activities,wash,,,
rainwater_system_new,Rainwater Harvesting System - NEW,water,Water Activities,wash,,,
borehole_rehab,Borehole with Hand Pump - REHAB,water,Water Activities,wash,,,
shallow_well_rehab,Shallow Well with Hand Pump - REHAB,water,Water Activities,wash,,,
rainwater_system_rehab,Rainwater Harvesting System - REHAB,water,Water Activities,wash,,,
reverse_osmosis_system_new,Reverse Osmosis System - NEW,water,Water Activities,wash,,,
reverse_osmosis_system_rehab,Reverse Osmosis System - REHAB,water,Water Activities,wash,,,
gravity_fed_water_system_new,Gravity-Fed Water System - NEW,water,Water Activities,wash,,,
solar_pumping_system_new,Solar Pumping System - NEW,water,Water Activities,wash,,,
solar_pumping_system_rehab,Solar Pumping System - REHAB,water,Water Activities,wash,,,
gravity_fed_water_system_rehab,Gravity-Fed Water System - REHAB,water,Water Activities,wash,,,
water_kiosk_new,Water Kiosk - NEW,water,Water Activities,wash,,,
water_kiosk_rehab,Water Kiosk - REHAB,water,Water Activities,wash,,,
water_supply_health_facility_new,Water Supply in Health Facility - NEW,water,Water Activities,wash,,,
water_supply_community_new,Water Supply in Community - NEW,water,Water Activities,wash,,,
water_tank_new,Water Tank ( Storage Facility ) - NEW,water,Water Activities,wash,,,
water_supply_community_rehab,Water Supply in Community - REHAB,water,Water Activities,wash,,,
water_supply_school_new,Water Supply in School - NEW,water,Water Activities,wash,,,
water_supply_school_rehab,Water Supply in School - REHAB,water,Water Activities,wash,,,
water_tank_rehab,Water Tank ( Storage Facility ) - REHAB,water,Water Activities,wash,,,
water_supply_health_facility_rehab,Water Supply in Health Facility - REHAB,water,Water Activities,wash,,,
shallow_well_new,Shallow Well with Hand Pump - NEW,water,Water Activities,wash,,,
assistance-through-cashvoucher-distribution-for-safe-water,Assistance through Cash/voucher distribution for safe water,water,Water Activities,wash,,,
drill-new-borehole-with-hand-pump,Drill new borehole with Hand Pump,water,Water Activities,wash,,,
rehabilitate-borehole-with-hand-pump,Rehabilitate borehole with Hand Pump,water,Water Activities,wash,,,
construct-new-dug-wells-with-hand-pump,Construct new dug wells with Hand Pump,water,Water Activities,wash,,,
rehabilitate-dug-wells-with-hand-pump,Rehabilitate dug wells with Hand Pump,water,Water Activities,wash,,,
construct-deep-boreholes-with-solar-powered-piped-system---hh,Construct deep boreholes with solar powered piped system - HH,water,Water Activities,wash,,,
rehabilitate-deep-boreholes-with-solar-powered-piped-system---hh,Rehabilitate deep boreholes with solar powered piped system - HH,water,Water Activities,wash,,,
construct-deep-boreholes-with-any-other-type-of-pumps---hh,Construct deep boreholes with any other type of pumps - HH,water,Water Activities,wash,,,
rehabilitate-deep-boreholes-with-any-other-type-of-pumps---hh,Rehabilitate deep boreholes with any other type of pumps - HH,water,Water Activities,wash,,,
construct-deep-boreholes-with-solar-powered-piped-system---public-taps,Construct deep boreholes with solar powered piped system - public taps,water,Water Activities,wash,,,
rehabilitate-deep-boreholes-with-solar-powered-piped-system---public-taps,Rehabilitate deep boreholes with solar powered piped system - public taps,water,Water Activities,wash,,,
construct-deep-boreholes-with-any-other-type-of-pumps---public-taps,Construct deep boreholes with any other type of pumps - public taps,water,Water Activities,wash,,,
rehabilitate-deep-boreholes-with-any-other-type-of-pumps---public-taps,Rehabilitate deep boreholes with any other type of pumps - public taps,water,Water Activities,wash,,,
construct-gravity-fedspring-piped-system---hh,Construct Gravity-fed/spring piped system - HH,water,Water Activities,wash,,,
rehabilitate-gravity-fedspring-piped-system---hh,Rehabilitate Gravity-fed/spring piped system - HH,water,Water Activities,wash,,,
construct-gravity-fedspring-piped-system---public-taps,Construct Gravity-fed/spring piped system - public taps,water,Water Activities,wash,,,
rehabilitate-gravity-fedspring-piped-system---public-taps,Rehabilitate Gravity-fed/spring piped system - public taps,water,Water Activities,wash,,,
construct-water-reservoirs-for-conservation-of-rainwater,Construct water reservoirs for conservation of rainwater,water,Water Activities,wash,,,
rehabilitate-water-reservoirs-for-conservation-of-rainwater,Rehabilitate water reservoirs for conservation of rainwater,water,Water Activities,wash,,,
extension-from-existing-piped-system,Extension from Existing Piped System,water,Water Activities,wash,,,
water-tankering,Water Tankering,water,Water Activities,wash,,,
water-system-chlorination,Water System chlorination,water,Water Activities,wash,,,
water-quality-testing,Water Quality Testing,water,Water Activities,wash,,,
fuel-provision-for-water-systems,Fuel provision for water systems,water,Water Activities,wash,,,
water-systems-spare-parts-provision,Water systems spare parts provision,water,Water Activities,wash,,,
bulk-water-storage-installation-with-tapstands,Bulk water storage installation with tapstands,water,Water Activities,wash,,,
water-filtration-bio-sand-filters-etc-,"Water Filtration ( Bio-sand, Filters etc. )",water,Water Activities,wash,,,
water-supply-in-schools,Water supply in schools,water,Water Activities,wash,,,
water-supply-in-hcf,Water Supply in HCF,water,Water Activities,wash,,,
finalize-water-safety-planning-wsps-to-improve-water-quality-at-source-and-household-level,Finalize Water Safety Planning (WSPs) to improve water quality at source and household level,water,Water Activities,wash,,,
winterization_package_winter_clothing_kit,Provision of standard winter clothing kit,winterization_package,Winterization Package,esnfi,,,
winterization_package_heating_fuel,Provision of standard winterization package for fuel and heating,winterization_package,Winterization Package,esnfi,,,
winterization_package,Winterization Package,winterization_package,Winterization Package,esnfi,,,
